id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W2033819227->person:A5057678172,authored_by,publication:W2033819227,person:A5057678172,W2033819227,A5057678172,last,0,1
authored_by:publication:W1666853924->person:A5110893439,authored_by,publication:W1666853924,person:A5110893439,W1666853924,A5110893439,first,1,0
authored_by:publication:W1666853924->person:A5110890858,authored_by,publication:W1666853924,person:A5110890858,W1666853924,A5110890858,middle,0,1
authored_by:publication:W1666853924->person:W1666853924-person-2,authored_by,publication:W1666853924,person:W1666853924-person-2,W1666853924,W1666853924-person-2,middle,0,2
authored_by:publication:W1666853924->person:W1666853924-person-3,authored_by,publication:W1666853924,person:W1666853924-person-3,W1666853924,W1666853924-person-3,middle,0,3
authored_by:publication:W1666853924->person:W1666853924-person-4,authored_by,publication:W1666853924,person:W1666853924-person-4,W1666853924,W1666853924-person-4,middle,0,4
authored_by:publication:W1666853924->person:W1666853924-person-5,authored_by,publication:W1666853924,person:W1666853924-person-5,W1666853924,W1666853924-person-5,middle,0,5
authored_by:publication:W1666853924->person:W1666853924-person-6,authored_by,publication:W1666853924,person:W1666853924-person-6,W1666853924,W1666853924-person-6,middle,0,6
authored_by:publication:W1666853924->person:W1666853924-person-7,authored_by,publication:W1666853924,person:W1666853924-person-7,W1666853924,W1666853924-person-7,middle,0,7
authored_by:publication:W1666853924->person:W1666853924-person-8,authored_by,publication:W1666853924,person:W1666853924-person-8,W1666853924,W1666853924-person-8,last,0,8
authored_by:publication:W4210702550->person:A5018954657,authored_by,publication:W4210702550,person:A5018954657,W4210702550,A5018954657,first,1,0
authored_by:publication:W950821216->person:A5110328496,authored_by,publication:W950821216,person:A5110328496,W950821216,A5110328496,first,1,0
authored_by:publication:W950821216->person:A5013955991,authored_by,publication:W950821216,person:A5013955991,W950821216,A5013955991,last,0,1
authored_by:publication:W4245961435->person:A5061396853,authored_by,publication:W4245961435,person:A5061396853,W4245961435,A5061396853,first,1,0
authored_by:publication:W4245961435->person:A5018954657,authored_by,publication:W4245961435,person:A5018954657,W4245961435,A5018954657,last,0,1
authored_by:publication:W4233654598->person:A5003087402,authored_by,publication:W4233654598,person:A5003087402,W4233654598,A5003087402,first,1,0
authored_by:publication:W4298413470->person:A5111418782,authored_by,publication:W4298413470,person:A5111418782,W4298413470,A5111418782,first,1,0
authored_by:publication:W2133469585->person:A5111995000,authored_by,publication:W2133469585,person:A5111995000,W2133469585,A5111995000,first,1,0
authored_by:publication:W2133469585->person:A5000234995,authored_by,publication:W2133469585,person:A5000234995,W2133469585,A5000234995,last,0,1
authored_by:publication:W4301056702->person:A5035242470,authored_by,publication:W4301056702,person:A5035242470,W4301056702,A5035242470,first,1,0
authored_by:publication:W2118338381->person:A5082814826,authored_by,publication:W2118338381,person:A5082814826,W2118338381,A5082814826,first,1,0
authored_by:publication:W2118338381->person:A5028740204,authored_by,publication:W2118338381,person:A5028740204,W2118338381,A5028740204,last,0,1
authored_by:publication:W2152311269->person:A5089452951,authored_by,publication:W2152311269,person:A5089452951,W2152311269,A5089452951,first,1,0
authored_by:publication:W2152311269->person:A5032047957,authored_by,publication:W2152311269,person:A5032047957,W2152311269,A5032047957,last,0,1
authored_by:publication:W2300552860->person:A5089452951,authored_by,publication:W2300552860,person:A5089452951,W2300552860,A5089452951,first,1,0
authored_by:publication:W2300552860->person:A5032047957,authored_by,publication:W2300552860,person:A5032047957,W2300552860,A5032047957,last,0,1
authored_by:publication:W2038533471->person:A5067673309,authored_by,publication:W2038533471,person:A5067673309,W2038533471,A5067673309,first,1,0
authored_by:publication:W2038533471->person:A5111721341,authored_by,publication:W2038533471,person:A5111721341,W2038533471,A5111721341,middle,0,1
authored_by:publication:W2038533471->person:A5008617550,authored_by,publication:W2038533471,person:A5008617550,W2038533471,A5008617550,last,0,2
authored_by:publication:W1999130958->person:A5080419206,authored_by,publication:W1999130958,person:A5080419206,W1999130958,A5080419206,first,1,0
authored_by:publication:W2149441684->person:A5071787046,authored_by,publication:W2149441684,person:A5071787046,W2149441684,A5071787046,first,1,0
authored_by:publication:W2149441684->person:A5014978419,authored_by,publication:W2149441684,person:A5014978419,W2149441684,A5014978419,middle,0,1
authored_by:publication:W2149441684->person:A5006798669,authored_by,publication:W2149441684,person:A5006798669,W2149441684,A5006798669,middle,0,2
authored_by:publication:W2149441684->person:A5026873890,authored_by,publication:W2149441684,person:A5026873890,W2149441684,A5026873890,middle,0,3
authored_by:publication:W2149441684->person:A5020961360,authored_by,publication:W2149441684,person:A5020961360,W2149441684,A5020961360,middle,0,4
authored_by:publication:W2149441684->person:A5020220136,authored_by,publication:W2149441684,person:A5020220136,W2149441684,A5020220136,middle,0,5
authored_by:publication:W2149441684->person:A5049766408,authored_by,publication:W2149441684,person:A5049766408,W2149441684,A5049766408,middle,0,6
authored_by:publication:W2149441684->person:A5064902745,authored_by,publication:W2149441684,person:A5064902745,W2149441684,A5064902745,middle,0,7
authored_by:publication:W2149441684->person:A5090047444,authored_by,publication:W2149441684,person:A5090047444,W2149441684,A5090047444,middle,0,8
authored_by:publication:W2149441684->person:A5050629872,authored_by,publication:W2149441684,person:A5050629872,W2149441684,A5050629872,middle,0,9
authored_by:publication:W2149441684->person:A5050760316,authored_by,publication:W2149441684,person:A5050760316,W2149441684,A5050760316,middle,0,10
authored_by:publication:W2149441684->person:A5086570651,authored_by,publication:W2149441684,person:A5086570651,W2149441684,A5086570651,middle,0,11
authored_by:publication:W2149441684->person:A5066362880,authored_by,publication:W2149441684,person:A5066362880,W2149441684,A5066362880,middle,0,12
authored_by:publication:W2149441684->person:A5008166270,authored_by,publication:W2149441684,person:A5008166270,W2149441684,A5008166270,middle,0,13
authored_by:publication:W2149441684->person:A5033125884,authored_by,publication:W2149441684,person:A5033125884,W2149441684,A5033125884,last,0,14
authored_by:publication:W3009912996->person:A5019620317,authored_by,publication:W3009912996,person:A5019620317,W3009912996,A5019620317,first,1,0
authored_by:publication:W3009912996->person:A5044441675,authored_by,publication:W3009912996,person:A5044441675,W3009912996,A5044441675,middle,0,1
authored_by:publication:W3009912996->person:A5074494709,authored_by,publication:W3009912996,person:A5074494709,W3009912996,A5074494709,middle,0,2
authored_by:publication:W3009912996->person:A5082143205,authored_by,publication:W3009912996,person:A5082143205,W3009912996,A5082143205,middle,0,3
authored_by:publication:W3009912996->person:A5063536124,authored_by,publication:W3009912996,person:A5063536124,W3009912996,A5063536124,middle,0,4
authored_by:publication:W3009912996->person:A5083074687,authored_by,publication:W3009912996,person:A5083074687,W3009912996,A5083074687,middle,0,5
authored_by:publication:W3009912996->person:A5033152934,authored_by,publication:W3009912996,person:A5033152934,W3009912996,A5033152934,middle,0,6
authored_by:publication:W3009912996->person:A5065412037,authored_by,publication:W3009912996,person:A5065412037,W3009912996,A5065412037,middle,0,7
authored_by:publication:W3009912996->person:A5028405920,authored_by,publication:W3009912996,person:A5028405920,W3009912996,A5028405920,middle,0,8
authored_by:publication:W3009912996->person:A5007303691,authored_by,publication:W3009912996,person:A5007303691,W3009912996,A5007303691,middle,0,9
authored_by:publication:W3009912996->person:A5109246066,authored_by,publication:W3009912996,person:A5109246066,W3009912996,A5109246066,middle,0,10
authored_by:publication:W3009912996->person:A5011461272,authored_by,publication:W3009912996,person:A5011461272,W3009912996,A5011461272,middle,0,11
authored_by:publication:W3009912996->person:A5004595481,authored_by,publication:W3009912996,person:A5004595481,W3009912996,A5004595481,last,0,12
authored_by:publication:W2949177718->person:A5003957777,authored_by,publication:W2949177718,person:A5003957777,W2949177718,A5003957777,first,1,0
authored_by:publication:W2949177718->person:A5042529830,authored_by,publication:W2949177718,person:A5042529830,W2949177718,A5042529830,middle,0,1
authored_by:publication:W2949177718->person:A5078971011,authored_by,publication:W2949177718,person:A5078971011,W2949177718,A5078971011,middle,0,2
authored_by:publication:W2949177718->person:A5072183933,authored_by,publication:W2949177718,person:A5072183933,W2949177718,A5072183933,middle,0,3
authored_by:publication:W2949177718->person:A5045393597,authored_by,publication:W2949177718,person:A5045393597,W2949177718,A5045393597,middle,0,4
authored_by:publication:W2949177718->person:A5065039556,authored_by,publication:W2949177718,person:A5065039556,W2949177718,A5065039556,middle,0,5
authored_by:publication:W2949177718->person:A5014193997,authored_by,publication:W2949177718,person:A5014193997,W2949177718,A5014193997,middle,0,6
